kind,error
"Scale Up",0.2103718835955761
"Scale Up",0.3816179083264243
"Scale Up",0.02861103536042178
"Scale Up",0.3723565197798307
"Scale Up",0.13467750587057323
"Scale Up",0.028916702632714716
"Scale Up",0.05223823197620757
"Scale Up",0.2058345081878321
"Scale Up",0.029735186879911682
"Scale Up",0.027486994036289812
"Scale Up",0.2492860057119543
"Scale Up",0.006806150743634989
"Scale Up",0.4131583827893175
"Scale Up",0.05344699669774952
"Scale Up",0.14612536029472586
"Scale Up",0.06611570247933884
"Scale Up",0.10380148007776126
"Scale Up",0.30274866521653154
"Scale Up",0.012458286985539488
"Scale Up",0.048055611525287124
"Scale Up",0.04832773243718995
"Scale Up",0.20194504049283588
"Scale Up",0.4737035965166145
"Scale Up",0.2968465206861252
"Scale Up",0.12485190409026799
"Scale Up",0.038461538461538464
"Scale Up",0.42016098257944856
"Scale Up",0.15535662720184812
"Scale Up",0.007867306091712576
"Scale Up",0.7148498264927605
"Scale Up",0.01016194931677632
"Scale Up",0.2438175802435447
"Scale Up",0.2513455225910137
"Scale Up",0.12412547216291674
"Scale Up",0.10585918266863614
"Scale Up",0.035870578951144275
"Scale Up",0.08979055782124835
"Scale Up",0.21597829697707896
"Scale Up",0.3999109200410542
"Scale Up",0.09240644107948907
"Scale Up",0.5234759551155383
"Scale Up",0.10389235250222661
"Scale Up",0.3268639053254438
"Scale Up",0.25829586988680614
"Scale Up",0.3898760649100817
"Scale Up",0.03403336558200996
"Scale Up",0.14022261740104064
"Scale Up",0.046433385120327596
"Scale Up",0.0415625411021965
"Scale Up",0.06274776640435477
"Scale Up",0.1508479619160964
"Scale Up",0.10328026206249219
"Scale Up",0.023817618238176182
"Scale Up",0.1225388467296474
"Scale Up",0.05076923076923077
"Scale Up",0.15806942966559898
"Scale Up",0.27501656726308815
"Scale Up",0.0683340143940089
"Scale Up",0.15397718572959732
"Scale Up",0.14693654266958425
"Scale Up",0.5193989293567997
"Scale Up",0.007162426614481409
"Scale Up",0.1655381889514649
"Scale Up",0.1221875
"Scale Up",0.4534528177627246
"Scale Up",0.04983033806711072
"Scale Up",0.04106142648596602
"Scale Up",0.09531477737552306
"Scale Up",0.09841845010726806
"Scale Up",0.516405366090189
"Scale Up",0.41347014090807427
"Scale Up",0.1645881102846597
"Scale Up",0.31107442059560936
"Scale Up",0.25212854715975913
"Scale Up",0.49151609648720535
"Scale Up",0.12367361873399195
"Scale Up",0.003193360868900107
"Scale Up",0.01130227049163873
"Scale Up",0.15702339724638906
"Scale Up",0.19109882857614255
"Scale Up",0.17773740847570446
"Scale Up",0.27588730332967437
"Scale Up",0.21414913957934992
"Scale Up",0.1393556343456143
"Scale Up",0.11936619718309859
"Scale Up",0.16054523884463598
"Scale Up",0.1172153264975715
"Scale Up",0.040784827184150545
"Scale Up",0.5166921698887811
"Scale Up",0.2737447297815255
"Scale Up",0.38676859747133197
"Scale Up",0.20612939529521562
"Scale Up",0.27388010651777667
"Scale Up",0.14719039521985794
"Scale Up",0.09995033049325641
"Scale Up",0.10174462325161679
"Scale Up",0.13284954486195877
"Scale Up",0.3951238902875315
"Scale Up",0.10397591560509555
"Scale Up",0.22502937720329025
"Scale Up",0.19842338011920785
"Scale Up",0.1643246036039988
"Scale Up",0.0538451763455518
"Scale Up",0.07218310951214217
"Scale Up",0.022503272978781217
"Scale Up",0.24694683908045978
"Scale Up",0.4222079514274038
"Scale Up",0.09313486792129426
"Scale Up",0.037782261407921285
"Scale Up",0.01695167721974912
"Scale Up",0.024205273748735066
"Scale Up",0.033719578889800386
"Scale Up",0.15315036091513395
"Scale Up",0.14107050736862653
"Scale Up",0.15990856688531108
"Scale Up",0.09428350842821387
"Scale Up",0.034406144493044515
"Scale Up",0.18276762402088773
