session,expected_start,actual_start,expected_duration,actual_duration
Dijkstra_Shortest_Path,763.58,778.381,79.25,55.517
Diophantine_Eqns_Lin_Hom,1673.881,1821.947,7.419,6.801
Directed_Sets,1269.769,1469.7,30.306,21.997
Dirichlet_L,661.89,711.934,51.3,74.188
Dirichlet_Series,510.788,544.024,106.288,119.981
DiscretePricing,985.517,1006.036,46.006,50.724
Discrete_Summation,1762.44,1828.965,2.405,2.595
Disintegration,882.902,525.172,55.082,59.188
DiskPaxos,1551.707,1679.988,18.685,20.466
Distributed_Distinct_Elements,988.024,1070.855,215.131,197.358
Dominance_CHK,1467.454,1374.102,28.166,19.904
Doob_Convergence,1714.316,1845.036,7.012,7.486
DynamicArchitectures,1389.162,1559.295,18.502,19.622
Dynamic_Tables,1722.873,1959.465,6.082,4.751
E_Transcendental,500.269,506.74,57.254,69.177
Earley_Parser,1116.448,1200.679,35.766,47.982
Echelon_Form,403.235,429.234,120.089,124.104
EdmondsKarp_Maxflow,842.968,962.009,39.773,59.479
Edwards_Elliptic_Curves_Group,799.428,829.907,65.129,75.288
Efficient-Mergesort,1428.282,1610.58,26.918,20.281
Efficient_Weighted_Path_Order,1599.027,1580.726,13.069,19.092
Eisbach,1773.874,1845.531,2.245,1.897
Elimination_Of_Repeated_Factors,1568.724,1599.698,10.888,12.737
Elliptic_Curves_Group_Law,985.989,1071.088,31.92,29.355
Encodability_Process_Calculi,882.868,513.199,65.061,66.098
Epistemic_Logic,1554.548,1624.753,11.287,14.512
Equivalence_Relation_Enumeration,1683.258,1910.148,9.962,7.569
Ergodic_Theory,713.19,787.279,34.131,49.988
Error_Function,1657.148,1808.838,8.908,5.881
Eudoxus_Reals,1704.297,1864.842,8.758,7.739
Euler_MacLaurin,1641.118,1792.193,8.57,9.109
Euler_Partition,1629.453,1886.203,12.688,8.763
Euler_Polyhedron_Formula,1533.898,1667.192,13.314,14.415
Eval_FO,562.138,595.779,62.63,64.143
Example-Submission,1771.215,2012.286,1.329,0.938
Executable_Randomized_Algorithms,1554.977,1536.297,309.034,214.29
Expander_Graphs,458.52,495.927,529.504,523.047
Extended_Finite_State_Machine_Inference,552.087,596.05,55.29,61.527
Extended_Finite_State_Machines,223.758,246.457,21.928,21.061
FFT,1769.458,1972.74,1.714,1.485
FLP,1650.433,1701.133,7.0,13.224
FOL,8.245,11.389,3.787,3.011
FOL-Fitting,1147.669,1187.323,32.596,14.965
FOL-ex,12.032,17.557,4.734,4.412
FOLP,8.245,11.151,1.633,1.792
FOLP-ex,9.878,15.021,2.094,2.079
FOL_Axiomatic,1710.853,1845.05,7.592,8.939
FOL_Harrison,1666.056,1815.408,7.825,5.936
FOL_Seq_Calc1,1709.613,1735.918,3.861,3.993
FOL_Seq_Calc2,1242.822,1341.447,30.148,32.165
FOL_Seq_Calc3,1698.348,1857.283,8.28,7.231
FO_Theory_Rewriting,1508.435,1541.727,166.418,135.353
FSM_Tests,1109.901,1134.636,219.671,206.433
Factor_Algebraic_Polynomial,895.302,929.042,49.507,39.617
Factored_Transition_System_Bounding,721.94,738.834,54.298,46.647
Falling_Factorial_Sum,1744.681,1896.455,3.113,3.033
Farkas,918.324,917.922,54.98,51.942
FeatherweightJava,1695.884,1857.296,8.413,7.064
Featherweight_OCL,111.36,129.382,76.015,68.858
Fermat3_4,1772.081,1845.551,7.933,4.423
FileRefinement,1735.249,1803.728,3.597,3.054
FinFun,1732.37,1799.154,3.075,3.434
Finger-Trees,1579.612,1612.795,8.805,10.814
Finite-Map-Extras,1437.669,1610.595,32.669,21.529
Finite_Automata_HF,1604.412,1785.379,9.452,18.293
Finite_Fields,689.854,756.066,533.72,651.254
Finitely_Generated_Abelian_Groups,1529.546,1555.229,15.943,17.659
First_Order_Terms,256.056,269.384,26.009,23.789
First_Welfare_Theorem,1769.495,1842.553,4.589,7.631
Fishburn_Impossibility,1367.663,1382.603,16.706,15.39
Fisher_Yates,1746.72,1810.939,2.296,2.349
Fishers_Inequality,776.57,806.261,50.326,44.199
Fixed_Length_Vector,1690.718,1753.57,5.35,9.053
Flow_Networks,396.136,424.011,71.465,81.435
Floyd_Warshall,1642.141,1897.125,8.689,8.345
Flyspeck-Tame,1694.193,1857.309,76.21,60.353
FocusStreamsCaseStudies,1627.278,1677.066,9.292,7.051
Forcing,30.063,30.757,12.778,10.467
Formal_Puiseux_Series,1601.721,1622.289,8.742,11.039
Formal_SSA,980.583,862.04,364.385,335.851
Formula_Derivatives,944.809,969.672,165.092,163.822
Formula_Derivatives-Examples,1265.203,1360.645,34.082,36.13
Foundation_of_geometry,1153.572,1143.06,45.551,37.16
Fourier,1280.189,1353.018,27.631,29.193
Free-Boolean-Algebra,1768.307,2013.715,1.183,1.246
Free-Groups,793.01,848.129,54.134,53.777
Frequency_Moments,516.166,423.637,1365.206,919.569
Fresh_Identifiers,1752.078,1820.405,2.084,2.029
FunWithFunctions,1768.984,1844.537,1.164,1.256
FunWithTilings,1391.125,1413.37,16.198,17.695
Functional-Automata,222.954,246.469,12.849,13.439
Functional_Ordered_Resolution_Prover,1588.219,1710.333,187.178,196.819
Functions,1772.775,1991.715,2.269,1.768
Furstenberg_Topology,741.2,785.012,38.285,53.18
GPU_Kernel_PL,1729.758,1967.959,3.95,4.433
Gabow_SCC,516.166,417.505,69.043,56.342
GaleStewart_Games,1745.58,1985.566,4.39,2.445
Gale_Shapley,629.015,575.918,79.222,67.65
Game_Based_Crypto,525.657,578.767,27.238,35.518
Gauss-Jordan-Elim-Fun,1786.872,1994.786,1.685,1.689
Gauss_Jordan,874.571,871.595,62.853,53.921
Gauss_Sums,937.984,723.967,49.585,35.818
Gaussian_Integers,1236.626,1341.464,32.301,32.646
GenClock,1755.228,1993.193,1.824,2.137
General-Triangle,1768.346,2013.728,1.612,1.35
Generalized_Counting_Sort,1329.572,1344.233,21.047,17.509
Generic_Deriving,1000.146,1040.391,48.239,52.919
Generic_Join,1523.602,1505.809,13.973,13.469
GewirthPGCProof,1165.356,1040.81,32.14,31.264
Girth_Chromatic,516.166,422.951,84.992,52.491
Given_Clause_Loops,972.059,1006.054,50.75,56.219
Go,1730.663,1897.668,4.201,5.618
Go_Test_Quick,1772.258,1976.405,0.558,0.82
Go_Test_Slow,1771.201,2012.295,0.864,0.89
GoedelGod,1740.043,1977.693,2.701,3.162
Goedel_HFSet_Semantic,1289.371,1296.956,161.543,161.207
Goedel_HFSet_Semanticless,1159.442,1040.83,308.012,331.178
Goedel_Incompleteness,1102.073,977.565,28.948,28.579
Goodstein_Lambda,1749.189,1960.537,3.273,2.271
GraphMarkingIBP,1664.325,1893.62,10.567,5.301
Graph_Saturation,1521.024,1736.15,15.964,13.155
Graph_Theory,252.004,276.409,26.908,29.591
Gray_Codes,1753.998,1820.417,2.286,2.279
Green,1063.439,932.466,38.634,44.023
Groebner_Bases,368.615,365.176,270.855,328.032
Groebner_Macaulay,1197.496,1074.322,315.148,308.022
Gromov_Hyperbolicity,1650.256,1699.635,65.802,51.726
Grothendieck_Schemes,111.36,127.677,76.564,75.842
Group-Ring-Module,1051.944,1116.121,220.822,178.97
HOL,8.245,9.891,103.115,102.571
HOL-Algebra,261.662,273.618,98.744,87.074
HOL-Analysis,111.36,118.106,265.058,253.444
HOL-Analysis-ex,1758.198,1827.952,9.282,8.99
HOL-Auth,1675.707,1918.831,54.051,48.041
HOL-Bali,1705.977,1850.603,46.222,53.388
HOL-CSP,167.682,182.609,111.583,100.499
HOL-CSPM,601.158,476.724,36.89,35.499
HOL-CSP_OpSem,1073.306,1104.374,38.827,37.834
HOL-Cardinals,194.527,208.916,10.692,10.501
HOL-Codegenerator_Test,1304.221,1413.847,258.432,324.065
HOL-Combinatorics,1742.738,1978.029,44.134,12.061
HOL-Complex_Analysis,380.361,410.482,119.908,53.942
HOL-Computational_Algebra,217.922,230.402,43.74,41.882
HOL-Corec_Examples,1455.2,1631.209,386.25,289.124
HOL-Data_Structures,1364.46,1497.158,229.924,191.976
HOL-Datatype_Examples,1688.574,1836.285,88.317,84.635
HOL-Decision_Procs,1371.958,1398.669,210.523,195.548
HOL-Eisbach,785.949,838.075,7.061,9.362
HOL-Examples,1732.042,1877.662,31.866,40.022
HOL-Hahn_Banach,1770.756,2017.389,5.266,4.034
HOL-Hoare,1752.4,1993.206,12.686,13.464
HOL-Hoare_Parallel,1659.085,1811.868,46.892,38.147
HOL-Homology,1720.918,1854.738,114.575,92.077
HOL-IMP,1332.614,1535.106,207.376,132.559
HOL-IMPP,1772.463,2020.036,2.598,2.56
HOL-IOA,1772.816,1981.996,1.823,1.563
HOL-Imperative_HOL,1425.935,1462.521,82.5,77.887
HOL-Import,1774.084,1850.653,1.551,1.142
HOL-Induct,1769.102,1972.752,7.952,8.09
HOL-Isar_Examples,1771.629,1974.836,5.39,5.054
HOL-Lattice,1772.833,1845.561,3.295,1.956
HOL-Library,111.36,118.119,106.562,108.668
HOL-Matrix_LP,1764.68,1835.516,6.908,7.147
